timestamp,rotationRoll,rotationPitch,direction
2025-02-17 01:26:07.717541,-3.0,17.0,174.0
2025-02-17 01:26:07.724601,-3.0,16.0,173.0
2025-02-17 01:26:07.728707,-3.0,16.0,174.0
2025-02-17 01:26:07.734044,-4.0,17.0,174.0
2025-02-17 01:26:07.738659,-4.0,17.0,175.0
2025-02-17 01:26:07.754159,-3.0,16.0,174.0
2025-02-17 01:26:08.756796,-3.0,17.0,175.0
2025-02-17 01:26:08.760784,-3.0,17.0,174.0
2025-02-17 01:26:08.773784,-3.0,16.0,175.0
2025-02-17 01:26:08.775786,-4.0,16.0,175.0
2025-02-17 01:26:08.778529,-3.0,17.0,174.0
2025-02-17 01:26:08.789535,-3.0,17.0,174.0
2025-02-17 01:26:09.801787,-3.0,16.0,175.0
2025-02-17 01:26:09.803788,-1.0,15.0,175.0
2025-02-17 01:26:09.807790,-2.0,15.0,176.0
2025-02-17 01:26:09.820048,-3.0,16.0,174.0
2025-02-17 01:26:09.823050,-3.0,16.0,175.0
2025-02-17 01:26:09.826387,-3.0,16.0,175.0
2025-02-17 01:26:10.843298,-3.0,16.0,176.0
2025-02-17 01:26:10.847310,-3.0,16.0,175.0
2025-02-17 01:26:10.849300,-2.0,15.0,175.0
2025-02-17 01:26:10.852308,-2.0,15.0,173.0
2025-02-17 01:26:10.865300,-4.0,18.0,173.0
2025-02-17 01:26:10.867309,-1.0,9.0,177.0
2025-02-17 01:26:11.882617,-3.0,14.0,181.0
2025-02-17 01:26:11.893734,-1.0,9.0,179.0
2025-02-17 01:26:11.906733,12.0,8.0,173.0
2025-02-17 01:26:11.908733,15.0,25.0,177.0
2025-02-17 01:26:11.922157,4.0,17.0,182.0
2025-02-17 01:26:11.924159,-27.0,39.0,180.0
2025-02-17 01:26:12.933323,-78.0,53.0,168.0
2025-02-17 01:26:12.940517,-39.0,21.0,147.0
2025-02-17 01:26:12.953291,-28.0,10.0,154.0
2025-02-17 01:26:12.955291,-26.0,22.0,156.0
